page,slot,preset,variant_id,href,label,action,quantity
2,1,catalog-8,,,NOX AT10 Genius 18K Alum 2026,add,1
2,2,catalog-8,,,NOX AT10 Genius 12K Alum Xtreme 2026,add,1
2,3,catalog-8,,,NOX AT10 Pro Cup Hard 2026,add,1
2,4,catalog-8,,,NOX EA10 Ventus Attack 12K Xtreme 2026,add,1
2,5,catalog-8,,,NOX Equation Soft Advanced 2026,add,1
2,6,catalog-8,,,NOX VK Ventus Control 12K 2026,add,1
2,7,catalog-8,,,NOX AT10 Genius Attack 18K Alum 2026,add,1
2,8,catalog-8,,,NOX AT10 Genius Attack 12K Alum 2026,add,1
